iter	Passed	Remaining
0	1	1089
1	1	906
2	2	831
3	3	786
4	3	764
5	5	862
6	6	876
7	6	854
8	7	830
9	8	811
10	8	796
11	9	785
12	10	776
13	11	777
14	11	772
15	12	769
16	13	764
17	13	758
18	14	755
19	15	749
20	15	744
21	16	741
22	17	737
23	18	733
24	18	729
25	20	753
26	21	756
27	21	754
28	22	751
29	23	747
30	23	744
31	24	740
32	25	741
33	26	739
34	26	739
35	27	739
36	28	737
37	29	735
38	29	732
39	30	728
40	31	726
41	31	723
42	32	722
43	33	721
44	34	727
45	35	733
46	36	734
47	36	732
48	37	731
49	38	728
50	39	726
51	39	729
52	40	729
53	41	729
54	42	732
55	43	730
56	44	728
57	44	726
58	45	724
59	46	722
60	46	719
61	47	717
62	48	714
63	49	717
64	50	724
65	51	728
66	52	727
67	52	724
68	53	722
69	54	719
70	54	718
71	55	719
72	56	717
73	57	714
74	57	712
75	58	709
76	59	707
77	59	705
78	60	702
79	60	700
80	61	698
81	62	695
82	62	690
83	63	688
84	64	692
85	65	694
86	66	693
87	66	691
88	67	689
89	68	688
90	68	686
91	69	684
92	70	690
93	71	689
94	72	687
95	72	686
96	73	684
97	74	681
98	74	679
99	75	677
100	75	675
101	76	672
102	77	670
103	77	668
104	78	669
105	79	672
106	80	671
107	81	670
108	81	668
109	82	666
110	82	664
111	83	662
112	84	664
113	85	664
114	86	663
115	86	661
116	87	658
117	87	656
118	88	654
119	88	652
120	89	650
121	90	647
122	90	645
123	91	644
124	91	642
125	92	640
126	92	638
127	94	642
128	95	642
129	95	640
130	96	639
131	97	638
132	97	637
133	98	635
134	98	633
135	99	632
136	100	632
137	101	631
138	101	629
139	102	628
140	102	626
141	103	623
142	103	621
143	104	620
144	104	618
145	105	617
146	106	615
147	106	614
148	107	612
149	108	614
150	109	615
151	110	615
152	110	613
153	111	612
154	112	611
155	112	609
156	113	608
157	113	607
158	114	606
159	115	606
160	116	604
161	116	604
162	117	603
163	118	602
164	118	601
165	119	599
166	120	598
